DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
2	1	D06_OR_R2	D06	OR	R2	11	August 27, 2021	169031860	Kit 3	66.4	1.51	Ryan	D06.OR.R2	Omnigene	Room Temp
2	1	D04_OF_R2	D04	OF	R2	12	August 27, 2021	169031860	Kit 3	23.2	4.31	Ryan	D04.OF.R2	Omnigene	Frozen
2	1	D07_NF_R2	D07	NF	R2	13	August 27, 2021	169031860	Kit 3	34.6	2.89	Ryan	D07.NF.R2	No Preservative	Frozen
2	1	D03_OH_R2	D03	OH	R2	14	August 27, 2021	169031860	Kit 3	28	3.57	Ryan	D03.OH.R2	Omnigene	Hot
2	1	D10_OR_R2	D10	OR	R2	15	August 27, 2021	169031860	Kit 3	34.6	2.89	Ryan	D10.OR.R2	Omnigene	Room Temp
2	1	D01_ZF_R2	D01	ZF	R2	16	August 27, 2021	169031860	Kit 3	9.92	10.08	Ryan	D01.ZF.R2	Zymo	Frozen
2	1	D03_NF_R2	D03	NF	R2	18	August 27, 2021	169031860	Kit 3	109.2	0.92	Ryan	D03.NF.R2	No Preservative	Frozen
2	1	D02_ZR_R2	D02	ZR	R2	19	August 27, 2021	169031860	Kit 3	5.68	17.61	Ryan	D02.ZR.R2	Zymo	Room Temp
2	2	D03_OR_R2	D03	OR	R2	1	August 30, 2021	169031860	Kit 3	37.8	2.65	Dylan	D03.OR.R2	Omnigene	Room Temp
2	2	D03_ZR_R2	D03	ZR	R2	2	August 30, 2021	169031860	Kit 3	3.04	32.89	Dylan	D03.ZR.R2	Zymo	Room Temp
2	2	D07_ZR_R2	D07	ZR	R2	3	August 30, 2021	169031860	Kit 3	1	100	Dylan	D07.ZR.R2	Zymo	Room Temp
2	2	D06_ZF_R2	D06	ZF	R2	4	August 30, 2021	169031860	Kit 3	10.4	9.62	Dylan	D06.ZF.R2	Zymo	Frozen
2	2	D08_NF_R2	D08	NF	R2	5	August 30, 2021	169031860	Kit 3	112	0.89	Dylan	D08.NF.R2	No Preservative	Frozen
2	2	D10_ZF_R2	D10	ZF	R2	6	August 30, 2021	169031860	Kit 3	4	25	Dylan	D10.ZF.R2	Zymo	Frozen
2	2	D02_ZF_R2	D02	ZF	R2	7	August 30, 2021	169031860	Kit 3	8.8	11.36	Dylan	D02.ZF.R2	Zymo	Frozen
2	2	D04_NF_R2	D04	NF	R2	8	August 30, 2021	169031860	Kit 3	116	0.86	Dylan	D04.NF.R2	No Preservative	Frozen
2	2	D01_OF_R2	D01	OF	R2	9	August 30, 2021	169031860	Kit 3	88.2	1.13	Dylan	D01.OF.R2	Omnigene	Frozen
2	2	D05_ZH_R2	D05	ZH	R2	11	August 30, 2021	169031860	Kit 3	9.44	10.59	Dylan	D05.ZH.R2	Zymo	Hot
2	2	D05_OF_R2	D05	OF	R2	12	August 30, 2021	169031860	Kit 3	79.2	1.26	Dylan	D05.OF.R2	Omnigene	Frozen
2	2	D09_ZH_R2	D09	ZH	R2	13	August 30, 2021	169031860	Kit 3	4.7	21.28	Dylan	D09.ZH.R2	Zymo	Hot
2	2	D08_OH_R2	D08	OH	R2	14	August 30, 2021	169031860	Kit 3	91	1.1	Dylan	D08.OH.R2	Omnigene	Hot
2	2	D01_ZH_R2	D01	ZH	R2	15	August 30, 2021	169031860	Kit 3	4.88	20.49	Dylan	D01.ZH.R2	Zymo	Hot
2	2	D07_OR_R2	D07	OR	R2	16	August 30, 2021	169031860	Kit 3	22.8	4.39	Dylan	D07.OR.R2	Omnigene	Room Temp
